country,category,brand_name,wikidata_id,opening_rule,opening_hours,osm_additional_tags,description,source_url,opening_hours_url
FR,doityourself,Réseau Pro,,partial,,,Réouvertures progressives à partir du 23 mars,https://www.reseaupro.fr/coronavirus-ouvertures-agences,https://www.reseaupro.fr/coronavirus-ouvertures-agences
FR,doityourself,Weldom,Q16683226,open,,,,https://www.weldom.fr/,https://www.weldom.fr/weldom/rechercher-votre-magasin.html/
FR,electronics,Apple,Q421253,closed,,,,https://www.apple.com/fr/,
FR,electronics,Boulanger,Q2921695,closed,,,,https://twitter.com/boulanger/status/1240256275147034624,
FR,electronics,Darty,Q2439098,open,,,,https://www.darty.com/achat/services/faq-magasins-et-commandes/index.html,
FR,electronics,Électro Dépôt,Q2388060,open,,,,https://www.electrodepot.fr/,https://www.electrodepot.fr/nos-magasins
FR,electronics,Gitem,Q3107853,open,,,,https://www.gitem.fr/#slide-2,
FR,electronics_repair,Docteur IT,,open,,,,https://www.docteur-it.com/,
FR,employment_agency,Adecco,Q353496,closed,,,Contact à distance possible,https://www.adecco.fr/,
FR,employment_agency,Manpower,Q56315899,closed,,,Contact par courriel ou téléphone possible,https://www.manpower.fr/bulletin-informations-covid-19,
FR,employment_agency,Pôle Emploi,Q8901192,closed,,,Sur rendez-vous à partir du 18 mai,https://www.pole-emploi.fr/accueil/,
FR,employment_agency,Randstad,Q267840,closed,,,,https://www.randstad.fr/,
FR,farm,Bienvenue à la Ferme,Q2902023,open,,,,,https://www.drive-fermier.fr/carte_drive_fermier
FR,farm,Drive Fermier,Q2902023,open,,,,,https://www.drive-fermier.fr/carte_drive_fermier
FR,fast_food,Burger King,Q177054,partial,,,,https://www.burgerking.fr/,
FR,fast_food,Domino’s,Q839466,open_adapted,,"{ ""delivery:covid19"": ""yes"", ""takeaway:covid19"": ""yes"", ""access:covid19"": ""no"" }",,https://www.dominos.fr/,
FR,fast_food,Domino’s Pizza,Q839466,open_adapted,,"{ ""delivery:covid19"": ""yes"", ""takeaway:covid19"": ""yes"", ""access:covid19"": ""no"" }",,https://www.dominos.fr/,
FR,fast_food,KFC,Q524757,open,,,,https://www.kfc.fr/,
FR,fast_food,La Boîte à Pizza,Q3206840,open,,,,https://www.laboiteapizza.com/,https://www.laboiteapizza.com/restaurant
FR,fast_food,La Croissanterie,Q3207961,closed,,,,https://www.lacroissanterie.fr/,
FR,fast_food,McDonald’s,Q38076,partial,,,Certains McDrive sont ouverts,https://www.mcdonalds.fr/,https://www.restaurants.mcdonalds.fr/
FR,fast_food,Pizza Hut,Q191615,open_adapted,,"{ ""delivery:covid19"": ""yes"", ""access:covid19"": ""no"" }",En livraison uniquement,https://www.pizzahut.fr/,
FR,fast_food,Quick,Q286494,closed,,,,https://www.quick.fr/landing?redirect=%2F,
FR,fast_food,Subway,Q244457,partial,,"{ ""delivery:covid19"": ""yes"", ""drive_through:covid19"": ""yes"" }",,https://www.subway.com/fr-fr,
FR,flower,Interflora,Q692179,partial,,,,https://www.facebook.com/Interflora.France/posts/3183824991629083,
FR,flower,Monceau Fleurs,Q17629431,closed,,,,https://www.monceaufleurs.com/,
FR,frozen_food,Thiriet,Q3524695,open,,,,https://www.facebook.com/thiriet.surgeles/photos/a.167457513322829/2904903916244828/,"https://magasins.thiriet.com/les-points-de-retrait-thiriet/les-points-de-retrait-thiriet,176,1168.html"
FR,fuel,AS24,Q2819394,open,,,,https://www.as24.com/fr/communique-covid-19,
FR,fuel,Avia,Q300147,open,,,,https://www.avia-france.fr/,
FR,fuel,BP,Q152057,open,,,,http://stationsbp.fr/bp_station/site_bp_station/index.php,
FR,fuel,Elan,Q57980752,open,,,,,https://www.total-proxi-energies.fr/stations-elan/nous-trouver
FR,fuel,Esso,Q867662,open,,,,https://corporate.esso.fr/Notre-groupe/Actualites-et-publications/Esso-SAF/Information,
FR,fuel,Esso Express,Q867662,open,,,,https://corporate.esso.fr/Notre-groupe/Actualites-et-publications/Esso-SAF/Information,
FR,fuel,Groupement des Mousquetaires,Q3153200,open_adapted,,,,https://www.intermarche.com/enseigne/magazine/mesures-COVID,
FR,fuel,La Station U,Q2529029,open,,,,https://twitter.com/ULesCommercants/status/1240174417960931328,
FR,fuel,Shell,Q154950,open,,,Certains services en station sont fermés ou limités (restauration),https://www.shell.fr/,
FR,fuel,Total,Q154037,open,,,,https://www.total.fr/actus/nos-actualites/Covid-19-Total-se-mobilise-pour-soutenir-personnels-soignants-hospitaliers,
FR,fuel,Total Access,Q154037,open,,,,https://www.total.fr/actus/nos-actualites/Covid-19-Total-se-mobilise-pour-soutenir-personnels-soignants-hospitaliers,
FR,funeral_directors,PFG,Q3396087,open,,,Appeler avant de se déplacer,,
FR,funeral_directors,Roblot,Q63247414,open,,,Nous vous conseillons d’appeler votre agence avant de vous déplacer,https://www.roblot.fr/,
FR,funeral_directors,Roc-Eclerc,Q62558102,open,,,,https://www.groupe-roc-eclerc.com/groupe/magazine/actualites/roc-eclerc-se-mobilise-contre-le-virus-covid-19/,
FR,furniture,Centrakor,Q64079345,open,,,,https://www.centrakor.com/,
FR,garden_centre,Gamm Vert,Q3095006,open,,,,https://www.gammvert.fr/faq/details/commandes-COVID-19,https://magasin.gammvert.fr/
FR,garden_centre,Jardiland,Q3162276,open,,,,,
FR,garden_centre,Point Vert,Q16661975,partial,,,,https://www.magasin-point-vert.fr/,https://www.magasin-point-vert.fr/magasins
FR,garden_centre,Truffaut,Q3162640,open,,"{ ""drive_through:covid19"": ""yes"", ""delivery:covid19"": ""yes"", ""access:covid19"": ""no"" }",,https://www.truffaut.com/information-actualite,
FR,hearing_aids,Amplifon,Q477222,open,,,,https://www.amplifon.com/fr/information-covid19,
FR,hearing_aids,Audika,Q2870745,open_adapted,,,,https://www.audika.fr/landing-page/audika-plus-vous,
FR,hairdresser,Fabio Salsa,,open,,,La prise de rendez-vous en ligne est conseillée.,https://www.fabiosalsa.com/onvaprendresoindevous/,https://reservations.fabiosalsa.com/reservation/area
FR,hairdresser,Franck Provost,Q62805922,open,,,La prise de rendez-vous en ligne est conseillée.,https://www.franckprovost.com/actu-salon/onvaprendresoindevous/,https://reservations.franckprovost.com/reservation/area
